model,dataset,accuracy,f1_score,precision,recall,round,Delta A-F1,Delta A-P,Delta A-R
RF,roberta_review_vector_no_stopwords,0.815155556,0.815103254,0.815587545,0.815155556,1,5.23015E-05,-0.000431989,0
RF,self_trained_word2vec_review_vector_lemmatized_no_sw,0.812555556,0.812463621,0.813266394,0.812555556,1,9.19347E-05,-0.000710839,0
RF,self_trained_word2vec_review_vector_lemmatized,0.811088889,0.811061378,0.81132529,0.811088889,1,2.75112E-05,-0.000236401,0
RF,roberta_review_vector_lemmatized_no_sw,0.809888889,0.809819737,0.810424029,0.809888889,1,6.91521E-05,-0.00053514,0
RF,roberta_review_vector_stemmed,0.809555556,0.809533186,0.809751025,0.809555556,1,2.23694E-05,-0.00019547,0
RF,self_trained_word2vec_review_vector_stemmed_no_sw,0.809044444,0.808900049,0.809997307,0.809044444,3,0.000144395,-0.000952862,0
SVM,google_word2vec_review_vector_stemmed,0.806844444,0.806843778,0.806847713,0.806844444,3,6.66938E-07,-3.26897E-06,0
SVM,roberta_review_vector_lemmatized,0.806755556,0.806063475,0.811451451,0.806755556,1,0.000692081,-0.004695895,0
SVM,google_word2vec_review_vector_stemmed,0.806088889,0.806083162,0.80613126,0.806088889,2,5.72651E-06,-4.23712E-05,0
SVM,google_word2vec_review_vector_stemmed_no_sw,0.805288889,0.805223127,0.805721865,0.805288889,2,6.5762E-05,-0.000432976,0
SVM,google_word2vec_review_vector_stemmed_no_sw,0.805066667,0.80505934,0.805116152,0.805066667,3,7.32706E-06,-4.94857E-05,0
RF,self_trained_word2vec_review_vector_stemmed,0.802888889,0.802840091,0.803198147,0.802888889,3,4.8798E-05,-0.000309258,0
RF,self_trained_word2vec_review_vector_stemmed_no_sw,0.8024,0.802093501,0.804327772,0.8024,2,0.000306499,-0.001927772,0
SVM,google_word2vec_review_vector_stemmed_no_sw,0.802155556,0.802133173,0.802341045,0.802155556,1,2.23828E-05,-0.000185489,0
SVM,google_word2vec_review_vector_stemmed,0.801844444,0.801835955,0.801874235,0.801844444,1,8.48952E-06,-2.97909E-05,0
RF,roberta_review_vector_stemmed_no_sw,0.801088889,0.80108546,0.801112119,0.801088889,3,3.42869E-06,-2.32297E-05,0
RF,google_word2vec_review_vector_no_stopwords,0.800644444,0.800598785,0.800928796,0.800644444,3,4.56599E-05,-0.000284352,0
SVM,roberta_review_vector_no_stopwords,0.800222222,0.800215925,0.800288557,0.800222222,1,6.29752E-06,-6.63345E-05,0
ANN,google_word2vec_review_vector_stemmed,0.800044444,0.799982038,0.800400855,0.800044444,2,6.24064E-05,-0.000356411,0
ANN,google_word2vec_review_vector_stemmed_no_sw,0.799466667,0.799429528,0.79974918,0.799466667,1,3.71391E-05,-0.000282513,0
RF,google_word2vec_review_vector_no_stopwords,0.796266667,0.796171397,0.796844969,0.796266667,2,9.527E-05,-0.000578303,0
ANN,google_word2vec_review_vector_stemmed,0.796088889,0.795977495,0.796647443,0.796088889,1,0.000111394,-0.000558554,0
SVM,roberta_review_vector_lemmatized_no_sw,0.796066667,0.796066979,0.796068884,0.796066667,1,-3.12699E-07,-2.21753E-06,0
RF,google_word2vec_review_vector_lemmatized_no_sw,0.795777778,0.795735689,0.79602999,0.795777778,3,4.20885E-05,-0.000252213,0
RF,self_trained_word2vec_review_vector_stemmed,0.795177778,0.794967268,0.796429525,0.795177778,2,0.00021051,-0.001251747,0
RF,roberta_review_vector_stemmed_no_sw,0.794466667,0.794397753,0.794881777,0.794466667,2,6.89141E-05,-0.000415111,0
RF,google_word2vec_review_vector_tokenized,0.793866667,0.793790145,0.7943243,0.793866667,2,7.65221E-05,-0.000457634,0
RF,google_word2vec_review_vector_tokenized,0.792311111,0.792279635,0.792495437,0.792311111,3,3.14761E-05,-0.000184326,0
RF,google_word2vec_review_vector_lemmatized_no_sw,0.791444444,0.791341015,0.792047357,0.791444444,2,0.000103429,-0.000602913,0
ANN,google_word2vec_review_vector_stemmed_no_sw,0.789755556,0.789456852,0.791430674,0.789755556,3,0.000298703,-0.001675118,0
RF,google_word2vec_review_vector_lemmatized,0.788777778,0.78874837,0.788945391,0.788777778,3,2.94079E-05,-0.000167613,0
RF,google_word2vec_review_vector_lemmatized,0.7872,0.787124251,0.787629553,0.7872,2,7.57488E-05,-0.000429553,0
SVM,roberta_review_vector_stemmed,0.787155556,0.786047653,0.793528684,0.787155556,1,0.001107903,-0.006373129,0
RF,self_trained_word2vec_review_vector_stemmed_no_sw,0.785088889,0.784912492,0.786146724,0.785088889,1,0.000176397,-0.001057835,0
SVM,roberta_review_vector_stemmed_no_sw,0.784,0.783819588,0.784935148,0.784,3,0.000180412,-0.000935148,0
ANN,google_word2vec_review_vector_stemmed,0.783977778,0.783470076,0.786639191,0.783977778,3,0.000507702,-0.002661413,0
ANN,google_word2vec_review_vector_stemmed_no_sw,0.7838,0.78209213,0.793081617,0.7838,2,0.00170787,-0.009281617,0
SVM,roberta_review_vector_stemmed_no_sw,0.7822,0.782011315,0.783149991,0.7822,2,0.000188685,-0.000949991,0
RF,google_word2vec_review_vector_no_stopwords,0.780911111,0.780863465,0.781219271,0.780911111,1,4.76464E-05,-0.00030816,0
RF,self_trained_word2vec_review_vector_stemmed,0.780377778,0.780279384,0.780969926,0.780377778,1,9.83937E-05,-0.000592148,0
RF,roberta_review_vector_stemmed_no_sw,0.777933333,0.777848739,0.778439544,0.777933333,1,8.45947E-05,-0.000506211,0
RF,google_word2vec_review_vector_lemmatized_no_sw,0.776555556,0.776501835,0.776887969,0.776555556,1,5.37205E-05,-0.000332413,0
RF,google_word2vec_review_vector_tokenized,0.774422222,0.774383538,0.774667195,0.774422222,1,3.8684E-05,-0.000244973,0
RF,google_word2vec_review_vector_lemmatized,0.771,0.770968837,0.771198389,0.771,1,3.11627E-05,-0.000198389,0
RF,google_word2vec_review_vector_stemmed_no_sw,0.762422222,0.762324394,0.762866109,0.762422222,3,9.78283E-05,-0.000443887,0
RF,google_word2vec_review_vector_stemmed_no_sw,0.7564,0.756312057,0.756790189,0.7564,2,8.79432E-05,-0.000390189,0
RF,google_word2vec_review_vector_stemmed,0.755088889,0.755011275,0.755422222,0.755088889,3,7.7614E-05,-0.000333333,0
RF,google_word2vec_review_vector_stemmed,0.753555556,0.753475907,0.753902086,0.753555556,2,7.96484E-05,-0.00034653,0
SVM,roberta_review_vector_stemmed_no_sw,0.7476,0.747071971,0.74986473,0.7476,1,0.000528029,-0.00226473,0
RF,google_word2vec_review_vector_stemmed_no_sw,0.745,0.744790047,0.745922467,0.745,1,0.000209953,-0.000922467,0
RF,google_word2vec_review_vector_stemmed,0.736866667,0.736795144,0.737190948,0.736866667,1,7.15223E-05,-0.000324281,0
